Time,Heart,Temp,Skin,Oxygen,Beat,Trust,Sleeve,Suction,Pause,Adem,Tril,ZuigActive,VacuumMbar
4212,0.00,35.19,0.00,95.48,0,2.00,2.00,0.00,2.00,62.41,102.97,0,0.00
4321,0.00,35.19,0.00,95.51,0,2.00,2.00,0.00,2.00,63.08,102.91,0,0.00
4430,0.00,35.19,0.00,95.54,0,2.00,2.00,0.00,2.00,63.75,102.83,0,0.00
4570,0.00,35.19,0.00,95.57,0,2.00,2.00,0.00,2.00,64.42,102.72,0,0.00
4685,0.00,35.19,0.00,95.59,0,2.00,2.00,0.00,2.00,65.07,102.57,0,0.00
4794,0.00,35.19,0.00,95.62,0,2.00,2.00,0.00,2.00,65.71,102.41,0,0.00
4903,0.00,35.19,0.00,95.65,0,2.00,2.00,0.00,2.00,66.35,102.22,0,0.00
5012,0.00,35.19,0.00,95.67,0,2.00,2.00,0.00,2.00,66.97,102.00,0,0.00
5121,0.00,35.19,0.00,95.70,0,2.00,2.00,0.00,2.00,67.58,101.77,0,0.00
5230,0.00,35.19,0.00,95.73,0,2.00,2.00,0.00,2.00,68.19,101.52,0,0.00
5339,0.00,35.19,0.00,95.75,0,2.00,2.00,0.00,2.00,68.78,101.25,0,0.00
5448,0.00,35.13,0.00,95.78,0,2.00,2.00,0.00,2.00,69.36,100.98,0,0.00
5557,0.00,35.13,0.00,95.81,0,2.00,2.00,0.00,2.00,69.92,100.69,0,0.00
5666,0.00,35.19,0.00,95.83,0,2.00,2.00,0.00,2.00,70.48,100.39,0,0.00
5774,0.00,35.19,0.00,95.86,0,2.00,2.00,0.00,2.00,71.02,100.09,0,0.00
5884,0.00,35.19,0.00,95.88,0,2.00,2.00,0.00,2.00,71.55,99.79,0,0.00
5994,0.00,35.19,0.00,95.91,0,2.00,2.00,0.00,2.00,72.06,99.50,0,0.00
6103,0.00,35.19,0.00,95.93,0,2.00,2.00,0.00,2.00,72.56,99.20,0,0.00
6211,0.00,35.13,0.00,95.96,0,2.00,2.00,0.00,2.00,73.05,98.92,0,0.00
6321,0.00,35.13,0.00,95.99,0,2.00,2.00,0.00,2.00,73.52,98.65,0,0.00
6429,0.00,35.19,0.00,96.01,0,2.00,2.00,0.00,2.00,73.98,98.38,0,0.00
6554,0.00,35.19,0.00,96.03,0,2.00,2.00,0.00,2.00,74.43,98.14,0,0.00
6696,0.00,35.19,0.00,96.06,0,2.00,2.00,0.00,2.00,74.85,97.91,0,0.00
6810,0.00,35.19,0.00,96.08,0,2.00,2.00,0.00,2.00,75.27,97.71,0,0.00
6918,0.00,35.13,0.00,96.11,0,2.00,2.00,0.00,2.00,75.66,97.53,0,0.00
7028,0.00,35.13,0.00,96.13,0,2.00,2.00,0.00,2.00,76.04,97.37,0,0.00
7136,0.00,35.19,0.00,96.15,0,2.00,2.00,0.00,2.00,76.41,97.24,0,0.00
7246,0.00,35.19,0.00,96.18,0,2.00,2.00,0.00,2.00,76.75,97.14,0,0.00
7354,0.00,35.19,0.00,96.20,0,2.00,2.00,0.00,2.00,77.08,-2.94,0,0.00
7464,0.00,35.19,0.00,96.22,0,2.00,2.00,0.00,2.00,77.40,-2.98,0,0.00
7572,0.00,35.19,0.00,96.25,0,2.00,2.00,0.00,2.00,77.70,-3.00,0,0.00
7682,0.00,35.19,0.00,96.27,0,2.00,2.00,0.00,2.00,77.98,-2.99,0,0.00
7792,0.00,35.19,0.00,96.29,0,2.00,2.00,0.00,2.00,78.24,-2.94,0,0.00
7901,0.00,35.13,0.00,96.31,0,2.00,2.00,0.00,2.00,78.48,-2.87,0,0.00
8009,0.00,35.13,0.00,96.33,0,2.00,2.00,0.00,2.00,78.71,-2.77,0,0.00
8119,0.00,35.19,0.00,96.35,0,2.00,2.00,0.00,2.00,78.92,-2.64,0,0.00
8227,0.00,35.19,0.00,96.37,0,2.00,2.00,0.00,2.00,79.11,-2.48,0,0.00
8348,0.00,35.13,0.00,96.40,0,2.00,2.00,0.00,2.00,79.28,-2.30,0,0.00
8457,0.00,35.13,0.00,96.42,0,2.00,2.00,0.00,2.00,79.43,-2.09,0,0.00
8568,0.00,35.13,0.00,96.44,0,2.00,2.00,0.00,2.00,79.57,-1.87,0,0.00
8678,0.00,35.19,0.00,96.46,0,2.00,2.00,0.00,2.00,79.69,-1.63,0,0.00
8818,0.00,35.19,0.00,96.47,0,2.00,2.00,0.00,2.00,79.79,-1.37,0,0.00
8936,0.00,35.13,0.00,96.49,0,1.74,1.74,0.00,2.00,79.87,-1.09,0,0.00
9044,0.00,35.13,0.00,96.51,0,1.74,1.74,0.00,2.00,79.93,-0.81,0,0.00
9154,0.00,35.19,0.00,96.53,0,1.74,1.74,0.00,2.00,79.97,-0.52,0,0.00
9262,0.00,35.19,0.00,96.55,0,1.74,1.74,0.00,2.00,79.99,-0.22,0,0.00
9382,0.00,35.19,0.00,95.01,0,1.21,1.21,0.00,2.00,50.17,0.08,0,0.00
9494,0.00,35.19,0.00,95.03,0,1.21,1.21,0.00,2.00,50.91,0.38,0,0.00
9603,0.00,35.13,0.00,95.06,0,1.21,1.21,0.00,2.00,51.66,0.68,0,0.00
9711,0.00,35.13,0.00,95.09,0,1.21,1.21,0.00,2.00,52.41,0.96,0,0.00
9821,0.00,35.19,0.00,95.12,0,0.68,0.68,0.00,2.00,53.16,1.24,0,0.00
9928,0.00,35.19,0.00,95.15,0,0.68,0.68,0.00,2.00,53.90,1.51,0,0.00
10038,0.00,35.19,0.00,95.18,0,0.68,0.68,0.00,2.00,54.65,1.76,0,0.00
10146,0.00,35.19,0.00,95.21,0,0.68,0.68,0.00,2.00,55.39,1.99,0,0.00
10257,0.00,35.19,0.00,95.23,0,0.68,0.68,0.00,2.00,56.12,2.21,0,0.00
10369,0.00,35.13,0.00,95.26,0,0.41,0.41,0.00,2.00,56.85,2.40,0,0.00
10480,0.00,35.13,0.00,95.29,0,0.41,0.41,0.00,2.00,57.58,2.57,0,0.00
10589,0.00,35.13,0.00,95.32,0,0.41,0.41,0.00,2.00,58.31,2.71,0,0.00
10698,0.00,35.13,0.00,95.35,0,0.41,0.41,0.00,2.00,59.02,2.82,0,0.00
10806,0.00,35.19,0.00,95.38,0,0.41,0.41,0.00,2.00,59.74,2.91,0,0.00
10947,0.00,35.19,0.00,95.40,0,0.15,0.15,0.00,2.00,60.44,2.97,0,0.00
11065,0.00,35.19,0.00,95.43,0,0.15,0.15,0.00,2.00,61.14,3.00,0,0.00
11173,0.00,35.19,0.00,95.46,0,0.15,0.15,0.00,2.00,61.83,3.00,0,0.00
11308,0.00,35.19,0.00,95.49,0,0.15,0.15,0.00,2.00,62.52,2.96,0,0.00
11416,0.00,35.19,0.00,95.51,0,0.15,0.15,0.00,2.00,63.20,2.90,0,0.00
11526,0.00,35.19,0.00,95.54,0,0.15,0.15,0.00,2.00,63.87,2.81,0,0.00
11634,0.00,35.19,0.00,95.57,0,0.15,0.15,0.00,2.00,64.53,2.69,0,0.00
11744,0.00,35.19,0.00,95.60,0,0.15,0.15,0.00,2.00,65.18,2.55,0,0.00
11856,0.00,35.19,0.00,95.62,0,0.15,0.15,0.00,2.00,65.82,2.38,0,0.00
11965,0.00,35.19,0.00,95.65,0,0.15,0.15,0.00,2.00,66.45,2.18,0,0.00
12076,0.00,35.13,0.00,95.68,0,0.15,0.15,0.00,2.00,67.08,1.97,0,0.00
12188,0.00,35.13,0.00,95.71,0,0.15,0.15,0.00,2.00,67.69,1.73,0,0.00
12298,0.00,35.13,0.00,95.73,0,0.15,0.15,0.00,2.00,68.29,1.48,0,0.00
12410,0.00,35.13,0.00,95.76,0,0.15,0.15,0.00,2.00,68.88,1.21,0,0.00
12519,0.00,35.19,0.00,95.78,0,0.15,0.15,0.00,2.00,69.45,0.93,0,0.00
12628,0.00,35.19,0.00,95.81,0,0.15,0.15,0.00,2.00,70.02,0.64,0,0.00
12737,0.00,35.19,0.00,95.84,0,0.15,0.15,0.00,2.00,70.57,0.34,0,0.00
12846,0.00,35.19,0.00,95.86,0,0.15,0.15,0.00,2.00,71.11,0.04,0,0.00
12987,0.00,35.19,0.00,95.89,0,0.15,0.15,0.00,2.00,71.64,99.74,0,0.00
13102,0.00,35.13,0.00,95.91,0,0.15,0.15,0.00,2.00,72.15,99.45,0,0.00
13214,0.00,35.13,0.00,95.94,0,0.15,0.15,0.00,2.00,72.65,99.15,0,0.00
13323,0.00,35.13,0.00,95.96,0,0.15,0.15,0.00,2.00,73.13,98.87,0,0.00
13432,0.00,35.13,0.00,95.99,0,0.15,0.15,0.00,2.00,73.60,98.60,0,0.00
13541,0.00,35.13,0.00,96.01,0,0.15,0.15,0.00,2.00,74.06,98.34,0,0.00
13650,0.00,35.13,0.00,96.04,0,0.15,0.15,0.00,2.00,74.50,98.10,0,0.00
13759,0.00,35.19,0.00,96.06,0,0.15,0.15,0.00,2.00,74.92,97.88,0,0.00
13870,0.00,35.19,0.00,96.09,0,0.15,0.15,0.00,2.00,75.33,97.68,0,0.00
13982,0.00,35.19,0.00,96.11,0,0.15,0.15,0.00,2.00,75.73,97.50,0,0.00
14092,0.00,35.19,0.00,96.13,0,0.15,0.15,0.00,2.00,76.10,97.35,0,0.00
14204,0.00,35.19,0.00,96.16,0,0.15,0.15,0.00,2.00,76.47,97.22,0,0.00
14313,0.00,35.19,0.00,96.18,0,0.15,0.15,0.00,2.00,76.81,97.12,0,0.00
14422,0.00,35.19,0.00,96.20,0,0.15,0.15,0.00,2.00,77.14,97.05,0,0.00
14531,0.00,35.19,0.00,96.23,0,0.15,0.15,0.00,2.00,77.45,97.01,0,0.00
14640,0.00,35.19,0.00,96.25,0,0.15,0.15,0.00,2.00,77.74,97.00,0,0.00
14749,0.00,35.13,0.00,96.27,0,0.15,0.15,0.00,2.00,78.02,97.02,0,0.00
14858,0.00,35.13,0.00,96.29,0,0.15,0.15,0.00,2.00,78.28,97.07,0,0.00
14969,0.00,35.13,0.00,96.31,0,0.15,0.15,0.00,2.00,78.52,97.15,0,0.00
15113,0.00,35.13,0.00,96.34,0,0.15,0.15,0.00,2.00,78.74,97.25,0,0.00
15230,0.00,35.13,0.00,96.36,0,0.15,0.15,0.00,2.00,78.95,97.39,0,0.00
15339,0.00,35.13,0.00,96.38,0,0.15,0.15,0.00,2.00,79.14,97.55,0,0.00
15449,0.00,35.13,0.00,96.40,0,0.15,0.15,0.00,2.00,79.31,97.73,0,0.00
15557,0.00,35.13,0.00,96.42,0,0.15,0.15,0.00,2.00,79.46,97.94,0,0.00
15667,0.00,35.13,0.00,96.44,0,0.15,0.15,0.00,2.00,79.59,98.17,0,0.00
15777,0.00,35.13,0.00,96.46,0,0.15,0.15,0.00,2.00,79.71,98.42,0,0.00
15885,0.00,35.13,0.00,96.48,0,0.15,0.15,0.00,2.00,79.80,98.68,0,0.00
15993,0.00,35.13,0.00,96.50,0,0.15,0.15,0.00,2.00,79.88,-1.04,0,0.00
16103,0.00,35.13,0.00,96.52,0,0.15,0.15,0.00,2.00,79.94,-0.76,0,0.00
16211,0.00,35.13,0.00,96.53,0,0.15,0.15,0.00,2.00,79.98,-0.47,0,0.00
16321,0.00,35.13,0.00,96.55,0,0.15,0.15,0.00,2.00,80.00,-0.17,0,0.00
16429,0.00,35.13,0.00,95.01,0,0.15,0.15,0.00,2.00,50.29,0.13,0,0.00
16539,0.00,35.13,0.00,95.04,0,0.15,0.15,0.00,2.00,51.04,0.43,0,0.00
16647,0.00,35.06,0.00,95.07,0,0.15,0.15,0.00,2.00,51.79,0.73,0,0.00
16757,0.00,35.06,0.00,95.10,0,0.15,0.15,0.00,2.00,52.54,1.01,0,0.00
16867,0.00,35.06,0.00,95.13,0,0.15,0.15,0.00,2.00,53.28,1.29,0,0.00
16977,0.00,35.13,0.00,95.15,0,0.15,0.15,0.00,2.00,54.03,1.55,0,0.00
17086,0.00,35.13,0.00,95.18,0,0.15,0.15,0.00,2.00,54.77,1.80,0,0.00
17225,0.00,35.13,0.00,95.21,0,0.15,0.15,0.00,2.00,55.51,2.03,0,0.00
17343,0.00,35.13,0.00,95.24,0,0.15,0.15,0.00,2.00,56.25,2.24,0,0.00
17453,0.00,35.13,0.00,95.27,0,0.15,0.15,0.00,2.00,56.98,2.43,0,0.00
17562,0.00,35.13,0.00,95.30,0,0.15,0.15,0.00,2.00,57.70,2.59,0,0.00
17671,0.00,35.13,0.00,95.32,0,0.15,0.15,0.00,2.00,58.43,2.73,0,0.00
17780,0.00,35.13,0.00,95.35,0,0.15,0.15,0.00,2.00,59.14,2.84,0,0.00
17910,0.00,35.06,0.00,95.38,0,0.15,0.15,0.00,2.00,59.85,2.92,0,0.00
18018,0.00,35.06,0.00,95.41,0,0.15,0.15,0.00,2.00,60.56,2.98,0,0.00
18128,0.00,35.13,0.00,95.44,0,0.15,0.15,0.00,2.00,61.26,3.00,0,0.00
18236,0.00,35.13,0.00,95.46,0,0.15,0.15,0.00,2.00,61.95,2.99,0,0.00
18346,0.00,35.06,0.00,95.49,0,0.15,0.15,0.00,2.00,62.63,2.95,0,0.00
18453,0.00,35.06,0.00,95.52,0,0.15,0.15,0.00,2.00,63.31,2.89,0,0.00
18563,0.00,35.06,0.00,95.55,0,0.15,0.15,0.00,2.00,63.98,2.79,0,0.00
18673,0.00,35.13,0.00,95.57,0,0.15,0.15,0.00,2.00,64.64,2.67,0,0.00
18782,0.00,35.13,0.00,95.60,0,0.15,0.15,0.00,2.00,65.29,2.52,0,0.00
18890,0.00,35.13,0.00,95.63,0,0.15,0.15,0.00,2.00,65.93,2.34,0,0.00
19000,0.00,35.13,0.00,95.66,0,0.15,0.15,0.00,2.00,66.56,2.15,0,0.00
19108,0.00,35.13,0.00,95.68,0,0.15,0.15,0.00,2.00,67.18,1.93,0,0.00
19250,0.00,35.13,0.00,95.71,0,0.15,0.15,0.00,2.00,67.79,1.69,0,0.00
19368,0.00,35.13,0.00,95.74,0,0.15,0.15,0.00,2.00,68.39,1.43,0,0.00
19477,0.00,35.13,0.00,95.76,0,0.15,0.15,0.00,2.00,68.97,1.16,0,0.00
